Dates;EONIA Index;SXXR Index
01/04/1999;3.2;358.62
01/05/1999;3.2;363.1
01/06/1999;3.21;371.46
01/07/1999;3.21;367.03
01/08/1999;3.21;368.87
01/11/1999;3.2;363.76
01/12/1999;3.19;358.76
1/13/1999;3.18;345.19
1/14/1999;3.16;345.36
1/15/1999;3.1;351.81
1/18/1999;3.02;360.28
1/19/1999;2.98;358.09
1/20/1999;3.01;362.83
1/21/1999;3.03;358.3
1/22/1999;3.07;349.11
1/25/1999;3.14;350.25
1/26/1999;3.22;350.91
1/27/1999;3.13;352.11
1/28/1999;3.12;356.83
1/29/1999;3.16;359.31
02/01/1999;3.17;365.04
02/02/1999;3.18;362.68
02/03/1999;3.18;358.56
02/04/1999;3.17;359.01
02/05/1999;3.15;357.87
02/08/1999;3.15;355.27
02/09/1999;3.13;348.13
02/10/1999;3.12;345.72
02/11/1999;3.1;350.37
02/12/1999;3.08;353.65
2/15/1999;3.06;355.94
2/16/1999;3.04;357.37
2/17/1999;3.03;353.69
2/18/1999;3.02;354.51
2/19/1999;3.03;356.5
2/22/1999;3.05;361.15
2/23/1999;3.34;365.1
2/24/1999;3.13;368.91
2/25/1999;3.11;363.02
2/26/1999;3.12;361.61
03/01/1999;3.12;357.55
03/02/1999;3.11;358.35
03/03/1999;3.08;355.95
03/04/1999;3.06;359.57
03/05/1999;3.04;366.77
03/08/1999;3.03;364.85
03/09/1999;3.03;366.39
03/10/1999;3.02;365.7
03/11/1999;2.99;371.85
03/12/1999;2.92;372.06
3/15/1999;2.9;370.39
3/16/1999;2.9;371.12
3/17/1999;2.98;368.45
3/18/1999;2.95;367.2
3/19/1999;2.65;372.03
3/22/1999;2.19;369.92
3/23/1999;2.39;363.43
3/24/1999;2.98;359.9
3/25/1999;2.99;365.5
3/26/1999;2.99;365.17
3/29/1999;2.99;370.37
3/30/1999;2.98;369.23
3/31/1999;2.99;371.6
04/01/1999;2.98;371.43
04/02/1999;2.96;371.63
04/05/1999;2.97;371.95
04/06/1999;2.98;376.1
04/07/1999;3.08;378.81
04/08/1999;3.11;379.7
04/09/1999;2.81;381.78
04/12/1999;2.77;380.69
4/13/1999;2.73;384.59
4/14/1999;2.6;383.55
4/15/1999;2.58;381.14
4/16/1999;2.55;380.36
4/19/1999;2.51;385.88
4/20/1999;2.47;377.17
4/21/1999;2.47;378.72
4/22/1999;2.47;382.61
4/23/1999;2.93;382.58
4/26/1999;2.53;385.29
4/27/1999;2.53;391.41
4/28/1999;2.52;391.29
4/29/1999;2.52;388.8
4/30/1999;2.53;391.43
05/03/1999;2.52;393.25
05/04/1999;2.51;393.14
05/05/1999;2.51;386.26
05/06/1999;2.51;385.6
05/07/1999;2.51;383.92
05/10/1999;2.51;383.45
05/11/1999;2.51;385.08
05/12/1999;2.51;383.6
5/13/1999;2.51;386.85
5/14/1999;2.51;380.47
5/17/1999;2.52;373.72
5/18/1999;2.53;376.5
5/19/1999;2.64;380.57
5/20/1999;3.02;385.06
5/21/1999;2.61;385.55
5/24/1999;2.54;383.62
5/25/1999;2.54;378.95
5/26/1999;2.52;380
5/27/1999;2.51;376.25
5/28/1999;2.51;377.3
5/31/1999;2.52;378.77
06/01/1999;2.52;379.2
06/02/1999;2.53;381.65
06/03/1999;2.54;384.76
06/04/1999;2.54;387.41
06/07/1999;2.54;391.23
06/08/1999;2.54;390.46
06/09/1999;2.54;391.36
06/10/1999;2.54;387.3
06/11/1999;2.55;390.93
6/14/1999;2.55;390.17
6/15/1999;2.55;390.49
6/16/1999;2.56;394.48
6/17/1999;2.58;395.98
