date,RateDecision
1994-02-04,1
1994-03-22,1
1994-04-18,1
1994-05-17,1
1994-08-16,1
1994-11-15,1
1995-02-01,1
1995-07-06,1
1995-12-19,1
1996-01-31,1
1997-03-25,1
1998-09-29,1
1998-10-15,1
1998-11-17,1
1999-05-18,1
1999-06-30,1
1999-08-24,1
1999-10-05,1
1999-11-16,1
1999-12-21,1
2000-02-02,1
2000-03-21,1
2000-05-16,1
2000-06-28,0
2000-08-22,0
2000-10-03,0
2000-11-15,0
2000-12-19,0
2001-01-03,-1
2001-01-31,-1
2001-03-20,-1
2001-04-18,-1
2001-05-15,-1
2001-06-27,-1
2001-08-21,-1
2001-09-17,-1
2001-10-02,-1
2001-11-06,-1
2001-12-11,-1
2002-01-30,0
2002-03-19,0
2002-05-07,0
2002-06-26,0
2002-08-13,0
2002-09-24,0
2002-11-06,-1
2002-12-10,0
2003-01-29,0
2003-03-18,0
2003-05-06,0
2003-06-25,-1
2003-08-12,0
2003-09-16,0
2003-10-28,0
2003-12-09,0
2004-01-28,0
2004-03-16,0
2004-05-04,0
2004-06-30,1
2004-08-10,1
2004-09-21,1
2004-11-10,1
2004-12-14,1
2005-02-02,1
2005-03-22,1
2005-05-03,1
2005-06-30,1
2005-08-09,1
2005-09-20,1
2005-11-01,1
2005-12-13,1
2006-01-31,1
2006-03-28,1
2006-05-10,1
2006-06-29,1
2006-08-08,1
2006-09-20,1
2006-10-25,1
2006-12-12,1
2007-01-31,0
2007-03-21,0
2007-05-09,0
2007-06-28,0
2007-08-07,0
2007-08-10,1
2007-08-16,1
2007-09-18,-1
2007-10-31,-1
2007-12-11,-1
2008-01-21,-1
2008-01-30,-1
2008-03-10,1
2008-03-18,-1
2008-04-30,-1
2008-06-25,0
2008-08-05,0
2008-09-16,0
2008-10-07,-1
2008-10-29,-1
2008-12-16,1
2009-01-28,0
2009-03-18,0
2009-04-29,0
2009-06-24,0
2009-08-12,0
2009-09-23,0
2009-11-04,0
2009-12-16,0
2010-01-27,0
2010-03-16,0
2010-04-28,0
2010-05-09,1
2010-06-23,0
2010-08-10,0
2010-09-21,0
2010-11-03,0
2010-12-14,0
2011-01-26,0
2011-03-15,0
2011-04-27,0
2011-06-22,0
2011-08-09,0
2011-09-21,0
2011-11-02,0
2011-12-13,0
2012-01-25,0
2012-03-13,0
2012-04-25,0
2012-06-20,0
2012-08-01,0
2012-09-13,0
2012-10-24,0
2012-12-12,0
2013-01-30,0
2013-03-20,0
2013-05-01,0
2013-06-19,0
2013-07-31,0
2013-09-18,0
2013-10-30,0
2013-12-18,0
2014-01-29,0
2014-03-19,0
2014-04-30,0
2014-06-18,0
2014-07-30,0
2014-09-17,0
2014-10-29,0
2014-12-17,1
2019-01-30,0
2019-03-20,0
2019-05-01,0
2019-06-19,-1
2019-07-31,0
2019-09-18,0
2019-10-04,0
2019-10-30,-1
2019-12-11,0
2020-01-29,0
2020-03-03,-1
2020-03-15,-1
2020-03-23,0
2020-03-31,1
2020-04-29,0
2020-06-10,0
2020-07-29,0
2020-08-27,1
2020-09-16,0
2020-11-05,0
2020-12-16,0
2021-01-27,0
2021-03-17,0
2021-04-28,0
2021-06-16,0
2021-07-28,0
2021-09-22,0
2021-11-03,0
2021-12-15,0
2022-01-26,1
2022-03-16,1
2022-05-04,1
2022-06-15,1
2022-07-27,1
2022-09-21,1
2022-11-02,1
2022-12-14,1
2023-02-01,1
2023-03-22,1
2023-05-03,1
2023-06-14,0
2023-07-26,1
2023-09-20,0
2023-11-01,0
2023-12-13,0
2024-01-31,0
